CK,Tran,San,TC,Giamua3,KLmua3,Giamua2,KLmua2,Giamua1,KLmua1,Giakhop,Khoiluongkhoplenh,Thaydoi,Phantramthaydoi,Giaban3,KLban3,Giaban2,KLban2,Giaban1,KLban1Caonhat,Thapnhat,TongKL,DTNNmua,DTNNban,DTNNdu
AAA,17,14.8,15.9,15.8,"117,300",15.85,"133,500",15.9,"121,100",15.95,"25,100",0.05,0.3%,15.95,"26,200",16,"274,100",16.05,"30,700",16,14.9,"3,849,300","89,000","15,800","215,499,648"
AAM,11.85,10.35,11.1,10.55,100,10.6,400,11.1,"3,000",11.1,"2,000",0.00,0.0%,11.2,"1,400",11.3,"1,400",11.4,500,11.1,11.1,"2,000",,,"5,932,115"
AAT,13.05,11.35,12.2,,,,,,,11.35,500,-0.85,-7.0%,11.35,"177,100",11.45,"21,000",11.5,"19,000",12,11.35,"231,300",400,,"17,050,600"
ABS,46,40,43,43.1,"2,000",43.2,"1,800",43.3,"1,500",43.5,"1,100",0.50,1.2%,43.5,"13,200",43.8,"6,700",44,"13,200",43.5,42,"50,000",,,
ABT,32.6,28.4,30.5,30.2,400,30.3,500,30.4,"4,300",30.4,700,-0.10,-0.3%,31.95,400,32,400,32.1,200,30.5,30.4,"2,900",,,"6,560,670"
ACB,34.25,29.85,32.05,32.3,"30,100",32.35,"18,600",32.4,"15,000",32.45,"56,000",0.40,1.2%,32.45,"63,400",32.5,"322,800",32.55,"33,300",32.45,31.35,"7,931,700","551,800","551,800",1
ACC,18.15,15.85,17,16.75,600,16.8,"5,000",16.85,"1,000",17,500,0.00,0.0%,17.2,"2,000",17.25,"16,200",17.3,200,17.3,16.7,"89,100","13,000",500,"11,031,673"
ACL,14.55,12.65,13.6,13,"6,800",13.1,"11,200",13.2,"2,900",13.2,200,-0.40,-2.9%,13.5,"8,500",13.6,"2,600",13.8,"5,200",13.6,13.1,"60,400",500,"1,500","18,378,567"
ADG,63.7,55.5,59.6,59,"3,300",59.1,"1,100",59.2,"2,300",59.4,100,-0.20,-0.3%,59.3,"1,000",59.4,"6,700",59.5,"2,500",59.6,59.1,"75,200",200,500,"4,125,979"
ADS,17.1,14.9,16,16.15,"1,700",16.4,"2,300",16.45,100,16.5,500,0.50,3.1%,16.5,"6,200",16.55,"1,000",16.6,"18,800",16.6,15.6,"182,100",,,"13,733,918"
