ID,CK,ISIN,FIGI,TENDOANHNGHIEP,KLDANGKY_NIEMYET,KLLUUHANH,NGAYNIEMYET
624,AAA,VN000000AAA4,BBG000BB42R4,Công ty Cổ phần Nhựa An Phát Xanh,"221.759.974,00","221.759.974,00",06/10/2016
147,AAM,VN000000AAM9,BBG000PDD0V4,Công ty Cổ phần Thủy sản Mekong,"12.346.411,00","10.451.182,00",13/07/2009
970,AAT,VN000000AAT4,BBG00YQ95PD2,Công ty Cổ phần Tiên Sơn Thanh Hóa,"34.800.000,00","34.800.000,00",29/12/2020
776,ABS,VN000000ABS4,BBG00R8768Y5,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,"80.000.000,00","80.000.000,00",27/12/2019
46,ABT,VN000000ABT2,BBG000QMW140,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,"14.107.207,00","11.497.257,00",12/06/2006
1130,ACB,VN000000ACB8,BBG000GYWBW2,Ngân hàng Thương mại Cổ phần Á Châu,"2.161.558.460,00","2.161.558.460,00",20/11/2020
332,ACC,VN000000ACC6,BBG000Q0SR00,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,"30.000.000,00","30.000.000,00",17/06/2011
126,ACL,VN000000ACL7,BBG000SW6J73,Công ty Cổ phần Xuất Nhập Khẩu Thủy sản Cửu Long An Giang,"50.159.019,00","50.159.019,00",23/08/2007
1133,ADG,VN000000ADG5,,Công ty Cổ phần Clever Group,"18.000.333,00","18.000.333,00",28/12/2020
613,ADS,VN000000ADS0,BBG00D60X6Z6,Công ty Cổ phần Damsan,"28.069.450,00","28.069.450,00",22/06/2016
842,AGG,VN000000AGG8,BBG00R4CKMT7,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,"82.750.577,00","82.750.577,00",17/12/2019
339,AGM,VN000000AGM6,BBG003NWY9K8,Công ty Cổ phần Xuất Nhập Khẩu An Giang,"18.200.000,00","18.200.000,00",14/09/2012
213,AGR,VN000000AGR5,BBG000PZH6N7,Công ty Cổ phần Chứng khoán Agribank,"212.000.000,00","211.199.953,00",02/12/2009
586,AMD,VN000000AMD3,BBG007GTX408,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,"163.504.874,00","163.504.874,00",08/06/2015
94,ANV,VN000000ANV3,BBG000P3VMH4,Công ty Cổ phần Nam Việt,"127.539.625,00","127.127.875,00",28/11/2007
